title,url,seendate,domain,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
Q & A – Part 3 Critical Race Theory Is Taught As Anything But A Theory,https://wjno.iheart.com/content/2021-05-27-qa-part-3-critical-race-theory-is-taught-as-anything-but-a-theory/,20210527T140000Z,wjno.iheart.com,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q _ xA0 _– Part 1 Critical Race Theory Is Taught As Anything But A Theory,https://wjno.iheart.com/content/2021-05-27-qa-part-1-critical-race-theory-is-taught-as-anything-but-a-theory/,20210527T140000Z,wjno.iheart.com,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical race theory is a lens . Here are 11 ways looking through it might refine your understanding of history,https://www.krrq.com/news/critical-race-theory-is-a-lens-here-are-11-ways-looking-through-it-might-refine-your-understanding-of-history/,20210527T151500Z,krrq.com,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second  critical race theory  ban enters Ohio House,https://www.news5cleveland.com/news/state/second-critical-race-theory-ban-enters-ohio-house,20210527T151500Z,news5cleveland.com,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas Educators Worry  Critical Race Theory  Bill Will Stifle Learing,https://www.texasobserver.org/texas-educators-worry-bill-limiting-the-teaching-of-current-events-and-historic-racism-would-whitewash-history/,20210527T151500Z,texasobserver.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Push Against Teaching Critical Race Theory in Schools is Growing,https://talkradio1059.iheart.com/content/2021-05-27-the-push-against-teaching-critical-race-theory-in-schools-is-growing/,20210527T154500Z,talkradio1059.iheart.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Fixer Upper  stars Chip and Joanna Gaines donate to school board candidate against critical race theory,http://www.msn.com/en-us/news/us/fixer-upper-stars-chip-and-joanna-gaines-donate-to-school-board-candidate-against-critical-race-theory/ar-AAKrXrl,20210527T164500Z,msn.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Fixer Upper  stars donate to Chip Gaine sister , a school board candidate who is against critical race theory",https://www.nbcnews.com/news/us-news/fixer-upper-stars-donate-chip-gaines-sister-school-board-candidate-n1268730,20210527T164500Z,nbcnews.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP and Veterans Fight Against Teaching Critical Race Theory in Military,https://www.kmaj1440.com/news/gop-and-veterans-fight-against-teaching-critical-race-theory-in-military/,20210527T164500Z,kmaj1440.com,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFA . net - Stopping Critical Race Theory in Schools,https://www.afa.net/the-stand/culture/2021/05/stopping-critical-race-theory-in-schools/,20210527T170000Z,afa.net,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
