title,url,seendate,domain,total_repeats,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
VIRTUAL EVENT : The New Intolerance : Critical Race Theory and Its Grip on America,https://www.heritage.org/progressivism/event/virtual-event-the-new-intolerance-critical-race-theory-and-its-grip-america,20201218T001500Z,heritage.org,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical Race Theory Does Not Stay on College Campuses,https://www.dailysignal.com/2020/12/18/2020-critical-race-theory/,20201218T154500Z,dailysignal.com,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBC wants to scrap CRT resolution , Dwight McKissic says",https://www.christianpost.com:443/church-ministries/sbc-wants-to-scrap-crt-resolution-dwight-mckissic-says.html,20201218T200000Z,christianpost.com,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  We out : Charlie Dates on why his church is leaving the SBC over rejection of critical race theory,https://religionnews.com/2020/12/18/we-out-charlie-dates-on-why-his-church-is-leaving-the-sbc-over-rejection-of-critical-race-theory/,20201218T234500Z,religionnews.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Prominent Pastors Break With SBC After Critical Race T ...... | News & Reporting,https://www.christianitytoday.com/news/2020/december/charlie-dates-ralph-west-southern-baptist-sbc-crt.html,20201219T104500Z,christianitytoday.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maintaining and expanding the ban on critical race theory -- Society Child -- Sott . net,https://www.sott.net/article/446032-Maintaining-and-expanding-the-ban-on-critical-race-theory,20201220T081500Z,sott.net,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas megachurch pastor cuts ties with SBC over CRT,https://www.christianpost.com:443/church-ministries/texas-megachurch-pastor-cuts-ties-with-sbc-over-crt.html,20201220T160000Z,christianpost.com,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling guilty about everything ? Thank critical race theory,http://www.truenorthreports.com/feeling-guilty-about-everything-thank-critical-race-theory,20201220T204500Z,truenorthreports.com,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only a Critical Race Theorist Could Be so Racist,https://townhall.com/columnists/bronsonstocking/2020/12/21/only-a-critical-race-theorist-could-be-so-racist-n2581887,20201221T190000Z,townhall.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Continuing saga : SBC leaders , seminary heads at odds on CRT",https://onenewsnow.com/church/2020/12/22/continuing-saga-sbcs-leaders-seminary-heads-at-odds-on-crt,20201222T210000Z,onenewsnow.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marxist  Critical Race Theory  seeps into U . S . courts,https://www.washingtontimes.com:443/news/2020/dec/22/marxist-critical-race-theory-seeps-into-us-courts/,20201222T220000Z,washingtontimes.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Luter , JD Greear speak out on dispute over CRT",https://www.christianpost.com:443/church-ministries/fred-luter-jd-greear-speak-out-on-dispute-over-crt.html,20201222T224500Z,christianpost.com,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marxist  Critical Race Theory  Seeps Into U . S . Courts | The Heritage Foundation,https://www.heritage.org/progressivism/commentary/marxist-critical-race-theory-seeps-us-courts,20201223T210000Z,heritage.org,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biden picks  social justice  architect for education secretary , ahead of expectations of Trump  critical race theory  ban reversal -- Puppet Masters -- Sott . net",https://www.sott.net/article/446214-Biden-picks-social-justice-architect-for-education-secretary-ahead-of-expectations-of-Trumps-critical-race-theory-ban-reversal,20201223T233000Z,sott.net,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racist Sharpton Claims the  White Church  Is  Sinning  for Not Teaching Critical Race Theory,https://www.newsbusters.org/blogs/nb/duncan-schroeder/2020/12/23/racist-sharpton-claims-white-church-sinning-not-teaching,20201224T023000Z,newsbusters.org,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luter , Greear latest Southern Baptist leaders to weigh in as turmoil over race theory grows",https://www.timeswv.com/news/national_news/luter-greear-latest-southern-baptist-leaders-to-weigh-in-as-turmoil-over-race-theory-grows/article_5fa77442-458d-11eb-83b3-eba18906f1e9.html,20201225T084500Z,timeswv.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIGHT SPEAK : Future Biden Education Secretary Oversaw Creation of Critical Theory Class for High Schoolers ; Marxist  Critical Race Theory  Seeps Into U . S . Courts,http://www.rightspeak.net/2020/12/future-biden-education-secretary.html,20201228T064500Z,rightspeak.net,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black pastor leaves Southern Baptists over critical race theory,https://www.christiancentury.org/article/people/black-pastor-leaves-southern-baptists-over-critical-race-theory,20201228T093000Z,christiancentury.org,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hans von Spakovsky : Marxist  Critical Race Theory  Seeps Into U . S . Courts The Patriot Post,https://patriotpost.us/opinion/76727-marxist-critical-race-theory-seeps-into-us-courts-2020-12-28,20201228T153000Z,patriotpost.us,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical race theory : a ruling - class ideology,https://www.naturalnews.com/2020-12-28-critical-race-theory-a-ruling-class-ideology.html,20201228T181500Z,naturalnews.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Experience With Completely Leadless CRT,https://www.medscape.com/viewarticle/943253,20201228T221500Z,medscape.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The SBC critical race theory debacle,https://religionnews.com/2020/12/29/the-sbcs-critical-race-theory-debacle/,20201229T151500Z,religionnews.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Theory Blog : Fox on Race and Assisted Reproduction,https://lsolum.typepad.com/legaltheory/2020/12/fox-on-race-and-assisted-reproduction.html,20201231T171500Z,lsolum.typepad.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSE CRT portfolios mark month - over - month improvement in delinquencies,https://www.nationalmortgagenews.com/news/gse-crt-portfolios-mark-month-over-month-improvement-in-delinquencies,20201231T211500Z,nationalmortgagenews.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
