date,CRT_relevant,trans_relevant
5/17/21,0,0
5/18/21,0,0
5/19/21,0,0
5/20/21,0.011363636363636364,0
5/21/21,0,0
5/22/21,0,0
5/23/21,0,0.009615385
5/24/21,0,0
5/25/21,0.018867924528301886,0.009433962
5/26/21,0.010752688172043012,0
5/27/21,0.009174312,0
5/28/21,0.010416666666666666,0
5/29/21,0.01,0
5/30/21,0.00990099,0.00990099
5/31/21,0,0.125
6/1/21,0.010309278350515464,0.010309278350515464
6/2/21,0.056603774,0.028301887
6/3/21,0,0
6/4/21,0,0
6/5/21,0,0
6/6/21,0.009803922,0
6/7/21,0.010416666666666666,0
6/8/21,0,0.1523809523809524
6/9/21,0,0
6/10/21,0.053763440860215055,0
6/11/21,0.074074074,0.037037037037037035
6/12/21,0.042553191,0.053191489
6/13/21,0.009708738,0.009708738
6/14/21,0,0.032258065
6/15/21,0,0.019047619
6/16/21,0.010416666666666666,0.020833333333333332
6/17/21,0.009708738,0
6/18/21,0,0.010204082
6/19/21,0.018867924528301886,0
6/20/21,0.010638297872340425,0
6/21/21,0.010416666666666666,0
6/22/21,0.009433962,0.009433962
6/23/21,0,0
6/24/21,0.010638297872340425,0
6/25/21,0,0.010416666666666666
6/26/21,0.00952381,0.019047619
6/27/21,0.05,0
6/28/21,0.010101010101010102,0.3939393939393939
6/29/21,0.010204082,0.030612244897959183
6/30/21,0,0
7/1/21,0,0.019607843
7/2/21,0.030303030303030304,0.010101010101010102
7/3/21,0.029126214,0
7/4/21,0.010526315789473684,0
7/5/21,0.028571429,0.019047619
7/6/21,0.041237113402061855,0
7/7/21,0.060606061,0.010101010101010102
7/8/21,0.020833333333333332,0.052083333333333336
7/9/21,0.049019607843137254,0.009803922
7/10/21,0.009803922,0
7/11/21,0.04,0.02
7/12/21,0.010752688172043012,0
7/13/21,0,0.03
7/14/21,0.024691358024691357,0.024691358024691357
7/15/21,0,0
7/16/21,0,0.03
7/17/21,0.019417475728155338,0.029126214
7/18/21,0.010204082,0.020408163
7/19/21,0.051020408,0.010204082
7/20/21,0.04040404,0.010101010101010102
7/21/21,0.019230769230769232,0
7/22/21,0.010416666666666666,0.010416666666666666
7/23/21,0.009803922,0.009803922
7/24/21,0,0.009708738
7/25/21,0,0
7/26/21,0,0
7/27/21,0.019417475728155338,0
7/28/21,0.010101010101010102,0
7/29/21,0,0
7/30/21,0,0
7/31/21,0,0.029411764705882353
8/1/21,0.027272727,0
8/2/21,0,0
8/3/21,0,0
8/4/21,0,0
8/5/21,0,0
8/6/21,0,0
8/7/21,0.01,0.01
8/8/21,0,0
8/9/21,0,0
8/10/21,0,0
8/11/21,0.01,0.01
8/12/21,0.02,0.05
8/13/21,0,0.010204082
8/14/21,0.019607843,0.009803922
8/15/21,0.01,0
8/16/21,0,0
8/17/21,0,0
8/18/21,0.01,0
8/19/21,0,0
8/20/21,0,0
8/21/21,0,0.009708738
8/22/21,0.010309278350515464,0
8/23/21,0,0.010526315789473684
8/24/21,0,0.010204082
8/25/21,0,0.037383177570093455
8/26/21,0,0
8/27/21,0.010638297872340425,0.031914893617021274
8/28/21,0,0.045454545454545456
8/29/21,0,0
8/30/21,0.009803922,0.049019607843137254
8/31/21,0.00990099,0.04950495
9/1/21,0.010101010101010102,0.010101010101010102
9/2/21,0.019230769230769232,0.009615385
9/3/21,0.010526315789473684,0.010526315789473684
9/4/21,0.009803922,0
9/5/21,0,0.009708738
9/6/21,0.021052631578947368,0.021052631578947368
9/7/21,0,0
9/8/21,0,0
9/9/21,0,0
9/10/21,0,0
9/11/21,0.009259259,0
9/12/21,0,0
9/13/21,0.011627906976744186,0
9/14/21,0,0
9/15/21,0,0
9/16/21,0,0
9/17/21,0,0
9/18/21,0.028571429,0
9/19/21,0,0
9/20/21,0,0
9/21/21,0,0
9/22/21,0.009708738,0
9/23/21,0,0
9/24/21,0,0
9/25/21,0,0
9/26/21,0,0
9/27/21,0,0
9/28/21,0,0
9/29/21,0.010416666666666666,0.020833333333333332
9/30/21,0.00990099,0
10/1/21,0.02970297,0
10/2/21,0.010204082,0
10/3/21,0.019417475728155338,0
10/4/21,0.010752688172043012,0.010752688172043012
10/5/21,0.037383177570093455,0
10/6/21,0,0
10/7/21,0,0
10/8/21,0,0
10/9/21,0.019801980198019802,0
10/10/21,0,0
10/11/21,0.010101010101010102,0
10/12/21,0,0
10/13/21,0,0.04
10/14/21,0.010416666666666666,0.041666666666666664
10/15/21,0,0
10/16/21,0.01,0
10/17/21,0.04950495,0.019801980198019802
10/18/21,0.010752688172043012,0
10/19/21,0,0
10/20/21,0,0
10/21/21,0,0
10/22/21,0,0
10/23/21,0,0
10/24/21,0,0
10/25/21,0.00990099,0
10/26/21,0,0
10/27/21,0.009708738,0
10/28/21,0,0
10/29/21,0,0.009803922
10/30/21,0,0.019801980198019802
10/31/21,0.08,0
11/1/21,0.010869565217391304,0.010869565217391304
11/2/21,0.01,0
11/3/21,0.048076923,0
11/4/21,0.04040404,0
11/5/21,0,0
11/6/21,0,0.009433962
11/7/21,0,0
11/8/21,0,0.039215686
11/9/21,0.021276596,0.021276596
11/10/21,0.00990099,0.00990099
11/11/21,0.01,0.01
11/12/21,0.010309278350515464,0
11/13/21,0.009345794,0
11/14/21,0.010526315789473684,0
11/15/21,0,0.030612244897959183
11/16/21,0.028301887,0.018867924528301886
11/17/21,0,0
11/18/21,0.019607843,0
11/19/21,0.009708738,0
11/20/21,0.020408163,0.010204082
11/21/21,0.010101010101010102,0
11/22/21,0,0
11/23/21,0,0
11/24/21,0.018518518518518517,0
11/25/21,0.073684211,0
11/26/21,0.009803922,0
11/27/21,0.019417475728155338,0
11/28/21,0.03125,0
11/29/21,0,0
11/30/21,0,0
12/1/21,0.00990099,0
12/2/21,0,0
12/3/21,0,0
12/4/21,0,0
12/5/21,0,0
12/6/21,0,0
12/7/21,0,0
12/8/21,0,0
12/9/21,0,0.021052631578947368
12/10/21,0.009259259,0
12/11/21,0,0
12/12/21,0,0
12/13/21,0,0
12/14/21,0.011111111111111112,0.011111111111111112
12/15/21,0,0
12/16/21,0,0.021739130434782608
12/17/21,0,0
12/18/21,0,0
12/19/21,0,0
12/20/21,0,0.021505376344086023
12/21/21,0,0
12/22/21,0,0
12/23/21,0,0
12/24/21,0.009345794,0
12/25/21,0.010204082,0
12/26/21,0,0
12/27/21,0,0.011494252873563218
12/28/21,0,0
12/29/21,0,0
12/30/21,0,0
12/31/21,0,0
1/1/22,0,0
1/2/22,0,0
1/3/22,0,0
1/4/22,0,0
1/5/22,0,0.00952381
1/6/22,0,0
1/7/22,0,0
1/8/22,0,0
1/9/22,0,0
1/10/22,0.010869565217391304,0
1/11/22,0,0.010101010101010102
1/12/22,0,0
1/13/22,0,0
1/14/22,0,0.009803922
1/15/22,0,0
1/16/22,0,0
1/17/22,0,0
1/18/22,0.028037383177570093,0.018691588785046728
1/19/22,0,0
1/20/22,0,0
1/21/22,0,0
1/22/22,0,0.01
1/23/22,0,0
1/24/22,0,0
1/25/22,0,0
1/26/22,0.019417475728155338,0
1/27/22,0.009708738,0
1/28/22,0,0
1/29/22,0.019230769230769232,0.009615385
1/30/22,0,0
1/31/22,0,0.066666667
2/1/22,0,0.009615385
2/2/22,0,0.009259259
2/3/22,0,0
2/4/22,0,0.011111111111111112
2/5/22,0,0
2/6/22,0,0.010309278350515464
2/7/22,0,0
2/8/22,0,0
2/9/22,0,0
2/10/22,0,0
2/11/22,0,0
2/12/22,0,0.009345794
2/13/22,0,0.010416666666666666
2/14/22,0,0.010526315789473684
2/15/22,0,0.009615385
2/16/22,0,0
2/17/22,0,0
2/18/22,0,0
2/19/22,0,0
2/20/22,0,0.009345794
2/21/22,0.020618556701030927,0
2/22/22,0,0
2/23/22,0.009615385,0.009615385
2/24/22,0,0.009708738
2/25/22,0,0
2/26/22,0,0
2/27/22,0,0
2/28/22,0,0
3/1/22,0,0.00990099
3/2/22,0,0
3/3/22,0,0
3/4/22,0,0.010416666666666666
3/5/22,0,0
3/6/22,0,0
3/7/22,0,0
3/8/22,0,0.009259259
3/9/22,0,0
3/10/22,0,0
3/11/22,0.010101010101010102,0
3/12/22,0,0
3/13/22,0.010416666666666666,0
3/14/22,0,0
3/15/22,0,0.02
3/16/22,0,0.020833333333333332
3/17/22,0,0.00990099
3/18/22,0,0.020202020202020204
3/19/22,0,0
3/20/22,0,0.010416666666666666
3/21/22,0.00990099,0
3/22/22,0.010204082,0
3/23/22,0.01,0
3/24/22,0,0.033333333
3/25/22,0.009433962,0.009433962
3/26/22,0,0
3/27/22,0,0
3/28/22,0.010526315789473684,0
3/29/22,0,0
3/30/22,0,0
3/31/22,0,0
4/1/22,0.018518518518518517,0
4/2/22,0,0.009708738
4/3/22,0.020408163,0
4/4/22,0,0
4/5/22,0,0
4/6/22,0,0
4/7/22,0,0
4/8/22,0,0
4/9/22,0,0
4/10/22,0,0.010416666666666666
4/11/22,0,0
4/12/22,0,0
4/13/22,0.010416666666666666,0
4/14/22,0,0
4/15/22,0,0.010204082
4/16/22,0.009433962,0.009433962
4/17/22,0.010638297872340425,0.042553191
4/18/22,0,0
4/19/22,0,0
4/20/22,0,0
4/21/22,0,0
4/22/22,0,0.020833333333333332
4/23/22,0.010101010101010102,0.010101010101010102
4/24/22,0,0
4/25/22,0,0
4/26/22,0,0
4/27/22,0,0
4/28/22,0,0
4/29/22,0,0.010869565217391304
4/30/22,0,0.018181818
5/1/22,0,0
5/2/22,0.010416666666666666,0
5/3/22,0,0.009615385
5/4/22,0,0.020618556701030927
5/5/22,0,0.009803922
5/6/22,0,0
5/7/22,0,0
5/8/22,0.010309278350515464,0
5/9/22,0.02970297,0.00990099
5/10/22,0.02970297,0
5/11/22,0.021505376344086023,0
5/12/22,0.01,0
5/13/22,0,0.009708738
5/14/22,0,0
5/15/22,0,0
5/16/22,0,0.019230769230769232
5/17/22,0.020202020202020204,0.020202020202020204
5/18/22,0.009708738,0
5/19/22,0,0
5/20/22,0,0
5/21/22,0,0
5/22/22,0,0.010309278350515464
5/23/22,0.010869565217391304,0
5/24/22,0,0
5/25/22,0,0
5/26/22,0,0
5/27/22,0,0
5/28/22,0,0
5/29/22,0,0
5/30/22,0,0
5/31/22,0,0
6/1/22,0.01,0
6/2/22,0,0
6/3/22,0,0
6/4/22,0,0.00990099
6/5/22,0,0
6/6/22,0,0.010752688172043012
6/7/22,0,0.019607843
6/8/22,0,0.010309278350515464
6/9/22,0,0.019047619
6/10/22,0,0
6/11/22,0,0
6/12/22,0,0
6/13/22,0.010101010101010102,0
6/14/22,0,0.010204082
6/15/22,0,0
6/16/22,0,0
6/17/22,0,0
6/18/22,0.00990099,0
6/19/22,0,0
6/20/22,0.010416666666666666,0
6/21/22,0,0
6/22/22,0,0.009708738
6/23/22,0,0
6/24/22,0,0.010101010101010102
6/25/22,0,0
6/26/22,0,0
6/27/22,0,0
6/28/22,0,0
6/29/22,0,0.019047619
6/30/22,0,0.010416666666666666
7/1/22,0,0
7/2/22,0.028846153846153848,0
7/3/22,0,0
7/4/22,0,0
7/5/22,0,0
7/6/22,0,0
7/7/22,0,0
7/8/22,0.009345794,0.009345794
7/9/22,0,0.009708738
7/10/22,0,0
7/11/22,0.043010752688172046,0
7/12/22,0,0
7/13/22,0.019230769230769232,0.019230769230769232
7/14/22,0.00952381,0
7/15/22,0.009803922,0
7/16/22,0,0
7/17/22,0,0
7/18/22,0,0
7/19/22,0,0
7/20/22,0,0
7/21/22,0,0.020618556701030927
7/22/22,0,0
7/23/22,0,0
7/24/22,0.010101010101010102,0.010101010101010102
7/25/22,0,0
7/26/22,0,0.010526315789473684
7/27/22,0,0.022988505747126436
7/28/22,0,0.016949153
7/29/22,0,0.030612244897959183
7/30/22,0,0
7/31/22,0.010989011,0
8/1/22,0,0
8/2/22,0.009259259,0
8/3/22,0,0.010416666666666666
8/4/22,0,0.00990099
8/5/22,0,0.019417475728155338
8/6/22,0,0.020618556701030927
8/7/22,0,0
8/8/22,0,0
8/9/22,0,0
8/10/22,0,0.009708738
8/11/22,0,0.01
8/12/22,0,0.009708738
8/13/22,0,0
8/14/22,0,0
8/15/22,0.021978022,0
8/16/22,0,0
8/17/22,0,0.009433962
8/18/22,0.010869565217391304,0.021739130434782608
8/19/22,0,0.01
8/20/22,0,0.018348624
8/21/22,0,0.020618556701030927
8/22/22,0.010101010101010102,0.010101010101010102
8/23/22,0.010309278350515464,0
8/24/22,0,0
8/25/22,0,0
8/26/22,0,0
8/27/22,0.009433962,0
8/28/22,0,0
8/29/22,0,0.011363636363636364
8/30/22,0,0.009174312
8/31/22,0,0.05
9/1/22,0,0
9/2/22,0,0.010309278350515464
9/3/22,0,0
9/4/22,0,0
9/5/22,0,0.030303030303030304
9/6/22,0,0
9/7/22,0.010309278350515464,0.010309278350515464
9/8/22,0,0
9/9/22,0,0.011363636363636364
9/10/22,0,0
9/11/22,0,0
9/12/22,0,0
9/13/22,0,0
9/14/22,0,0
9/15/22,0,0
9/16/22,0,0
9/17/22,0,0.20388349514563106
9/18/22,0,0.053191489
9/19/22,0,0.059405941
9/20/22,0,0.031578947368421054
9/21/22,0,0.018691588785046728
9/22/22,0,0
9/23/22,0,0.039603960396039604
9/24/22,0,0.018518518518518517
9/25/22,0,0
9/26/22,0,0.010526315789473684
9/27/22,0,0
9/28/22,0,0.017699115044247787
9/29/22,0,0
9/30/22,0,0.01
10/1/22,0,0.02
10/2/22,0,0.034883721
10/3/22,0,0.008928571
10/4/22,0,0.019230769230769232
10/5/22,0,0.02
10/6/22,0,0
10/7/22,0,0
10/8/22,0,0
10/9/22,0,0.010309278350515464
10/10/22,0.010638297872340425,0
10/11/22,0,0
10/12/22,0,0.009803922
10/13/22,0,0.010101010101010102
10/14/22,0,0.01
10/15/22,0,0
10/16/22,0,0
10/17/22,0,0
10/18/22,0,0
10/19/22,0.009345794,0
10/20/22,0,0.00990099
10/21/22,0,0
10/22/22,0.0125,0
10/23/22,0,0.008547009
10/24/22,0,0
10/25/22,0,0
10/26/22,0,0
10/27/22,0,0
10/28/22,0,0.03
10/29/22,0,0.020408163
10/30/22,0,0
10/31/22,0,0.082474227
11/1/22,0.010101010101010102,0.020202020202020204
11/2/22,0,0.00990099
11/3/22,0,0.019607843
11/4/22,0,0.11224489795918367
11/5/22,0,0.057692307692307696
11/6/22,0,0
11/7/22,0,0
11/8/22,0,0.021052631578947368
11/9/22,0,0.030612244897959183
11/10/22,0,0.009090909
11/11/22,0.016129032258064516,0.016129032258064516
11/12/22,0.02962963,0.007407407
11/13/22,0.010638297872340425,0.010638297872340425
11/14/22,0,0
11/15/22,0.010638297872340425,0
11/16/22,0,0
