headline,cluster_label
CRT Energy Assistance Program | News Radio 1410 AM & 100 . 9 FM,58
CRT Energy Assistance Program | Country 92 - 5,58
CRT Energy Assistance Program | The River 105 . 9,58
White House Cancels CDC Critical Race Theory Training Program,16
Trump admin shuts down CDC training that purportedly flouted executive order on critical race theory,16
"Unsubscribing , Solidarity Statements , Critical Race Theory , And The Enervation Of One Quadruple - Minority Professor",16
CRT Energy Assistance Program,58
CDC Defies Trump Ban on Critical Race Theory Training,42
White House cancels CDC  critical race theory  training after Trump banned it as  divisive  -- Puppet Masters -- Sott . net,42
"Thomas Gallatin : Marxist CRT Infecting Entire Govt , Thanks to Obama The Patriot Post",57
Pull up a chair and let John MacArthur perfectly summarize the cancer of Critical Race Theory for you -- Society Child -- Sott . net,77
Critical Race Theory Indoctrination in Our Schools,7
What Is Critical Race Theory and Why Is Trump Afraid of It ? ,39
UC law deans refute federal government criticism of Critical Race Theory,96
Trump crack down on  critical race theory  training leads to cancelation of Justice Department  unconscious bia program,16
Critical Race Theory Indoctrination in Our Schools - American Renaissance,7
"Trump takes aim at cancel culture , calls 1619 Project and Critical - Race Theory  ideological poison  ",93
Seditious CDC moves forward with  critical race theory  instruction blaming white people for racism despite Trump order to shut it down – NaturalNews . com,19
"Trump Takes Aim at Critical Race Theory , Proposes  Patriotic Education  Commission",59
Christopher Rufo on Critical Race Theory and the Trump Admin Recent Ban,13
Constitution Day : Trump Announces  1776 Commission  to Fight CRT Propaganda,57
Seditious CDC moves forward with  critical race theory  instruction blaming white people for racism despite Trump order to shut it down,19
"President Trump Ban On Critical Race Theory , Explained",44
"4 Key Moments From Trump Speech on History , Critical Race Theory",93
The man behind Trump campaign against  critical race theory  ,0
Critical Race Theory in American Classrooms,11
"  It will destroy our country : Trump targets school curriculums teaching  Marxist doctrines , critical race theory",61
"FNC Carlson : Well Look Back on Incorporating BLM , 1619 Project , Critical Race Theory in Schools in  Shame and Horror  ",11
Here why Trump and his supporters are so threatened by  critical race theory  ,39
"Trump takes on 1619 Project , critical race theory . ",93
Quotation of the day on the  1619 Project  and  critical race theory …. | American Enterprise Institute,18
"RIGHT SPEAK : President Trump Takes Aim at Cancel Culture , Calls 1619 Project and Critical - Race Theory  ideological poison ; Announces EO Establishing  1776 Commission  To Combat  1619 Project , and other related stories",93
Trump crackdown on  critical race theory  training leads to cancellation of Justice Department  unconscious bia program,16
Swarthmore College student paper : Mandate critical race theory for graduation,16
"Trump ban on Critical Race Theory , explained » MercatorNet",44
10 most extreme  Critical Race Theory  classes & trainings at US colleges,11
"What is critical race theory , President Trump latest political target ? ",90
The Orwellian Indoctrination of Kindergarteners With Critical Race Theory Is Outrageous and Must Be Stopped,7
The new religion of critical race theory,0
The 10 Most Extreme  Critical Race Theory  Classes & Trainings At US Colleges,11
Trump signs executive order barring critical - race theory training by federal contractors,54
Good : President Trump executive order abolishing critical race theory has the potential  to cripple hundreds of academic projects  ,42
Trump Signs Order to Combat Critical Race Theory Training by Federal Contractors,16
Trump vs . Critical Race Theory | Frontpagemag,93
Reuters editor calls White House order banning government training on critical race theory  bananas  ,42
"Trump strikes a second , massive blow against Critical Race theory",56
"Trump strikes a second , massive blow against Critical Race theory By Andrea Widburg",0
"Just Like Freud Psychoanalysis , Critical Race Theory Will Be Discredited",39
Trump expands ban on critical race theory to federal contractors,54
Trump Extends Ban on Critical Race Theory to Federal Contractors,54
Thomas Gallatin :  Critical Race  Training Banned for Fed Contractors The Patriot Post,57
