date,relevant
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.007692307692307693
2020-08-09,0.004291845493562232
2020-08-10,0.0
2020-08-11,0.012096774193548387
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.004132231404958678
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.016129032258064516
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.020833333333333332
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.007662835249042145
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.00411522633744856
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.05220883534136546
2020-09-24,0.004098360655737705
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.004273504273504274
2020-09-29,0.008130081300813009
2020-09-30,0.0
2020-10-01,0.0038461538461538464
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0038910505836575876
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.003937007874015748
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.004
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.004
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0036101083032490976
2020-11-13,0.004
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.008333333333333333
2020-11-20,0.004219409282700422
2020-11-21,0.0036101083032490976
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.003787878787878788
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.052845528455284556
2020-12-08,0.016194331983805668
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.07272727272727272
2020-12-19,0.0
2020-12-20,0.004201680672268907
2020-12-21,0.0
2020-12-22,0.003968253968253968
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0038461538461538464
2020-12-28,0.004081632653061225
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.003968253968253968
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.009900990099009901
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.01020408163265306
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.009900990099009901
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.021505376344086023
2021-02-20,0.08108108108108109
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.009900990099009901
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.01
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.010309278350515464
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.08571428571428572
2021-03-24,0.038461538461538464
2021-03-25,0.06862745098039216
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
